"log2FoldChange"	"padj"
"ENSG00000187566"	-0.820130140451032	0.0451320020739716
"ENSG00000079689"	7.94216189646759	0.0231491637689847
"ENSG00000164508"	25.6378136060137	3.7726277781105e-10
"ENSG00000146047"	10.8166995484114	0.0290438644267106
"ENSG00000124610"	21.4373894391876	2.05284715264158e-08
"ENSG00000278637"	22.6446879796844	5.68093205518322e-09
"ENSG00000278705"	8.28101399601368	0.0470158273085043
"ENSG00000278463"	22.0292303769927	5.12862894661485e-09
"ENSG00000275663"	21.7432480420295	5.4646478433304e-09
"ENSG00000277775"	22.661173549831	2.75067687085016e-10
"ENSG00000270935"	21.0325659729307	3.46330716175715e-08
"ENSG00000204789"	2.75640527273173	0.0451309761093562
"ENSG00000168131"	23.2551162451811	4.78148815987686e-09
"ENSG00000217539"	7.66873383820533	0.0489968371580608
"ENSG00000270326"	21.6091004085629	1.72470274257356e-08
"ENSG00000187987"	3.75860006357804	0.027165490240403
"ENSG00000232040"	6.4942793152937	0.00122469582141726
"ENSG00000228364"	21.4857058510699	1.99399032064931e-08
"ENSG00000204703"	22.3153731199343	7.75249331316905e-09
"ENSG00000204700"	21.5472136317585	1.83874901092116e-08
"ENSG00000204687"	23.0556156899025	5.12862894661485e-09
"ENSG00000228432"	20.6879039625267	5.71800513024978e-08
"ENSG00000204338"	5.7548285791	0.0438248650685666
"ENSG00000112053"	5.29241444217352	0.0368096681405482
"ENSG00000112164"	7.40808621862323	0.00592872670718486
"ENSG00000124780"	5.3390010557297	0.0335127645667014
"ENSG00000095981"	24.2484784278948	2.43138637348089e-09
"ENSG00000161911"	5.64606633796603	0.030541929220341
"ENSG00000225690"	22.0733569038026	1.04053044120886e-08
"ENSG00000204052"	4.58375415945593	0.0205152667436373
"ENSG00000112796"	6.89633388911914	0.00014737864997966
